example_index,source_index,layer_name,tensor_path,pred_label,true_label,difficulty
0,3887,layer_0,task2_artifacts/attention_tensors/example_00_layer_0.npy,entailment,entailment,easy
0,3887,layer_1,task2_artifacts/attention_tensors/example_00_layer_1.npy,entailment,entailment,easy
1,8815,layer_0,task2_artifacts/attention_tensors/example_01_layer_0.npy,entailment,entailment,easy
1,8815,layer_1,task2_artifacts/attention_tensors/example_01_layer_1.npy,entailment,entailment,easy
2,11311,layer_0,task2_artifacts/attention_tensors/example_02_layer_0.npy,entailment,entailment,medium
2,11311,layer_1,task2_artifacts/attention_tensors/example_02_layer_1.npy,entailment,entailment,medium
3,7760,layer_0,task2_artifacts/attention_tensors/example_03_layer_0.npy,entailment,entailment,medium
3,7760,layer_1,task2_artifacts/attention_tensors/example_03_layer_1.npy,entailment,entailment,medium
4,17403,layer_0,task2_artifacts/attention_tensors/example_04_layer_0.npy,neutral,entailment,hard
4,17403,layer_1,task2_artifacts/attention_tensors/example_04_layer_1.npy,neutral,entailment,hard
5,2002,layer_0,task2_artifacts/attention_tensors/example_05_layer_0.npy,neutral,entailment,hard
5,2002,layer_1,task2_artifacts/attention_tensors/example_05_layer_1.npy,neutral,entailment,hard
6,16117,layer_0,task2_artifacts/attention_tensors/example_06_layer_0.npy,neutral,neutral,easy
6,16117,layer_1,task2_artifacts/attention_tensors/example_06_layer_1.npy,neutral,neutral,easy
7,2132,layer_0,task2_artifacts/attention_tensors/example_07_layer_0.npy,neutral,neutral,easy
7,2132,layer_1,task2_artifacts/attention_tensors/example_07_layer_1.npy,neutral,neutral,easy
8,3125,layer_0,task2_artifacts/attention_tensors/example_08_layer_0.npy,neutral,neutral,medium
8,3125,layer_1,task2_artifacts/attention_tensors/example_08_layer_1.npy,neutral,neutral,medium
9,3482,layer_0,task2_artifacts/attention_tensors/example_09_layer_0.npy,neutral,neutral,medium
9,3482,layer_1,task2_artifacts/attention_tensors/example_09_layer_1.npy,neutral,neutral,medium
10,1769,layer_0,task2_artifacts/attention_tensors/example_10_layer_0.npy,neutral,neutral,hard
10,1769,layer_1,task2_artifacts/attention_tensors/example_10_layer_1.npy,neutral,neutral,hard
11,1624,layer_0,task2_artifacts/attention_tensors/example_11_layer_0.npy,entailment,neutral,hard
11,1624,layer_1,task2_artifacts/attention_tensors/example_11_layer_1.npy,entailment,neutral,hard
12,8888,layer_0,task2_artifacts/attention_tensors/example_12_layer_0.npy,contradiction,contradiction,easy
12,8888,layer_1,task2_artifacts/attention_tensors/example_12_layer_1.npy,contradiction,contradiction,easy
13,8710,layer_0,task2_artifacts/attention_tensors/example_13_layer_0.npy,contradiction,contradiction,easy
13,8710,layer_1,task2_artifacts/attention_tensors/example_13_layer_1.npy,contradiction,contradiction,easy
14,15073,layer_0,task2_artifacts/attention_tensors/example_14_layer_0.npy,contradiction,contradiction,medium
14,15073,layer_1,task2_artifacts/attention_tensors/example_14_layer_1.npy,contradiction,contradiction,medium
15,12665,layer_0,task2_artifacts/attention_tensors/example_15_layer_0.npy,contradiction,contradiction,medium
15,12665,layer_1,task2_artifacts/attention_tensors/example_15_layer_1.npy,contradiction,contradiction,medium
16,327,layer_0,task2_artifacts/attention_tensors/example_16_layer_0.npy,neutral,contradiction,hard
16,327,layer_1,task2_artifacts/attention_tensors/example_16_layer_1.npy,neutral,contradiction,hard
17,10873,layer_0,task2_artifacts/attention_tensors/example_17_layer_0.npy,contradiction,contradiction,hard
17,10873,layer_1,task2_artifacts/attention_tensors/example_17_layer_1.npy,contradiction,contradiction,hard
18,14174,layer_0,task2_artifacts/attention_tensors/example_18_layer_0.npy,contradiction,contradiction,easy
18,14174,layer_1,task2_artifacts/attention_tensors/example_18_layer_1.npy,contradiction,contradiction,easy
19,14412,layer_0,task2_artifacts/attention_tensors/example_19_layer_0.npy,contradiction,contradiction,medium
19,14412,layer_1,task2_artifacts/attention_tensors/example_19_layer_1.npy,contradiction,contradiction,medium
